"","datetime","msd.F.sal","ppt.F.sal"
"1",2021-10-01,69.3739583333333,69.1989583333333
"2",2021-10-02,70.5760416666667,69.4791666666667
"3",2021-10-03,71.240625,69.7104166666667
"4",2021-10-04,71.1625,69.9229166666667
"5",2021-10-05,70.828125,69.7291666666667
"6",2021-10-06,69.4041666666667,69.2291666666667
"7",2021-10-07,67.4604166666667,68.6583333333333
"8",2021-10-08,66.0302083333333,68.0510416666667
"9",2021-10-09,65.2458333333333,67.5677083333333
"10",2021-10-10,65.25,67.3447916666667
"11",2021-10-11,63.5451612903226,65.9655913978495
"12",2021-10-12,59.6177083333333,63.8270833333333
"13",2021-10-13,58.1708333333333,63.2729166666667
"14",2021-10-14,59.6958333333333,62.9583333333333
"15",2021-10-15,61.1145833333333,62.9197916666667
"16",2021-10-16,62.22,63.1063157894737
"17",2021-10-17,63.0885416666667,63.1458333333333
"18",2021-10-18,61.9239583333333,62.5833333333333
"19",2021-10-19,60.3905263157895,62.304347826087
"20",2021-10-20,59.628125,62.1947916666667
"21",2021-10-21,60.4510416666667,62.3208333333333
"22",2021-10-22,62.0010416666667,62.4395833333333
"23",2021-10-23,62.04375,62.3697916666667
"24",2021-10-24,61.5784946236559,61.9440860215054
"25",2021-10-25,60.43375,61.61125
"26",2021-10-26,60.0739583333333,61.6083333333333
"27",2021-10-27,60.3375,61.9645833333333
"28",2021-10-28,61.86875,61.9145833333333
"29",2021-10-29,62.8947916666667,61.9197916666667
"30",2021-10-30,63.2729166666667,61.8322916666667
"31",2021-10-31,62.55,61.7552083333333
"32",2021-11-01,61.3802083333333,61.65625
"33",2021-11-02,60.9583333333333,61.778125
"34",2021-11-03,61.51875,61.9442105263158
"35",2021-11-04,62.8347368421053,62.23125
"36",2021-11-05,61.9541666666667,62.1979166666667
"37",2021-11-06,61.4583333333333,61.9145833333333
"38",2021-11-07,60.8385416666667,61.421875
"39",2021-11-08,58.8635416666667,61.0572916666667
"40",2021-11-09,58.1260416666667,60.5177083333333
"41",2021-11-10,58.2989583333333,60.5010416666667
"42",2021-11-11,59.4354166666667,60.4875
"43",2021-11-12,59.9604166666667,60.3614583333333
"44",2021-11-13,59.6291666666667,60.1364583333333
"45",2021-11-14,58.9515789473684,59.8905263157895
"46",2021-11-15,58.0166666666667,59.590625
"47",2021-11-16,57.253125,59.309375
"48",2021-11-17,57.4770833333333,59.0705263157895
"49",2021-11-18,57.3302083333333,58.7572916666667
"50",2021-11-19,57.05,58.6791666666667
"51",2021-11-20,58.5677083333333,58.6395833333333
"52",2021-11-21,58.3336842105263,58.4010526315789
"53",2021-11-22,57.4375,58.3125
"54",2021-11-23,56.6854166666667,58.0177083333333
"55",2021-11-24,55.2208333333333,57.2989583333333
"56",2021-11-25,53.9802083333333,56.903125
"57",2021-11-26,53.909375,56.7125
"58",2021-11-27,54.028125,56.609375
"59",2021-11-28,54.1368421052632,56.5252631578947
"60",2021-11-29,54.2447916666667,56.4645833333333
"61",2021-11-30,54.5604166666667,56.4291666666667
"62",2021-12-01,54.7854166666667,56.353125
"63",2021-12-02,54.8302083333333,56.2645833333333
"64",2021-12-03,54.3635416666667,56.1645833333333
"65",2021-12-04,53.9604166666667,55.825
"66",2021-12-05,54.08125,55.625
"67",2021-12-06,53.6864583333333,55.2052083333333
"68",2021-12-07,53.3614583333333,54.9802083333333
"69",2021-12-08,53.4810526315789,54.6989473684211
"70",2021-12-09,53.3114583333333,54.5427083333333
"71",2021-12-10,52.82,53.94
"72",2021-12-11,51.528125,53.5104166666667
"73",2021-12-12,50.665625,53.1927083333333
"74",2021-12-13,50.3260416666667,52.7125
"75",2021-12-14,50.3252631578947,52.2105263157895
"76",2021-12-15,49.740625,51.521875
"77",2021-12-16,49.41875,50.8572916666667
"78",2021-12-17,49.2760416666667,50.3822916666667
"79",2021-12-18,48.4354166666667,49.9
"80",2021-12-19,47.5375,49.571875
"81",2021-12-20,47.6768421052632,49.1389473684211
"82",2021-12-21,47.7125,48.8572916666667
"83",2021-12-22,48.334375,48.61875
"84",2021-12-23,49.7802083333333,48.6291666666667
"85",2021-12-24,50.8114583333333,48.8322916666667
"86",2021-12-25,51.190625,48.7635416666667
"87",2021-12-26,50.0020833333333,48.39375
"88",2021-12-27,49.5145833333333,48.29375
"89",2021-12-28,48.834375,48.090625
"90",2021-12-29,48.0708333333333,47.8052083333333
"91",2021-12-30,48.2229166666667,47.7041666666667
"92",2021-12-31,48.6515789473684,47.5873684210526
"93",2022-01-01,48.1094736842105,47.2305263157895
"94",2022-01-02,46.9708333333333,47.0145833333333
"95",2022-01-03,46.4041666666667,46.8864583333333
"96",2022-01-04,47.478125,47.0697916666667
"97",2022-01-05,48.9322580645161,47.4376344086022
"98",2022-01-06,51.13,47.7555555555556
"99",2022-01-07,52.2944444444444,47.9722222222222
"100",2022-01-08,52.2208333333333,47.9854166666667
"101",2022-01-09,51.12,48.0042105263158
"102",2022-01-10,50.9568421052632,48.2494736842105
"103",2022-01-11,51.1606382978723,48.486170212766
"104",2022-01-12,51.19375,48.7666666666667
"105",2022-01-13,51.4989583333333,48.9572916666667
"106",2022-01-14,51.4894736842105,49.0578947368421
"107",2022-01-15,51.5010416666667,49.0614583333333
"108",2022-01-16,52.2557894736842,49.1915789473684
"109",2022-01-17,52.9210526315789,49.2905263157895
"110",2022-01-18,53.3294736842105,49.4568421052632
"111",2022-01-19,53.3157894736842,49.7178947368421
"112",2022-01-20,53.1166666666667,49.88125
"113",2022-01-21,52.9416666666667,49.909375
"114",2022-01-22,52.0271739130435,49.8260869565217
"115",2022-01-23,51.9873684210526,49.8463157894737
"116",2022-01-24,51.7302083333333,49.878125
"117",2022-01-25,51.6822916666667,49.9958333333333
"118",2022-01-26,51.6589473684211,50.1073684210526
"119",2022-01-27,51.5833333333333,50.2489583333333
"120",2022-01-28,51.9021505376344,50.2946808510638
"121",2022-01-29,51.9054347826087,50.3315217391304
"122",2022-01-30,51.6114583333333,50.39375
"123",2022-01-31,51.1276595744681,50.5382978723404
"124",2022-02-01,50.8684210526316,50.0747368421053
"125",2022-02-02,49.0885416666667,49.284375
"126",2022-02-03,48.7041666666667,49.19375
"127",2022-02-04,49.3520833333333,49.3208333333333
"128",2022-02-05,50.1083333333333,49.5177083333333
"129",2022-02-06,50.6537634408602,49.7010752688172
"130",2022-02-07,51.1322916666667,49.9885416666667
"131",2022-02-08,51.7978947368421,50.3684210526316
"132",2022-02-09,52.371875,50.684375
"133",2022-02-10,52.9739583333333,51.0145833333333
"134",2022-02-11,53.984375,51.5177083333333
"135",2022-02-12,54.6739583333333,52.0864583333333
"136",2022-02-13,55.2833333333333,52.6479166666667
"137",2022-02-14,56.0393617021277,53.0148936170213
"138",2022-02-15,55.0631578947368,52.8231578947368
"139",2022-02-16,53.3645833333333,52.7645833333333
"140",2022-02-17,53.9958333333333,52.9375
"141",2022-02-18,54.6645833333333,53.303125
"142",2022-02-19,55.1989473684211,53.6578947368421
"143",2022-02-20,54.8627659574468,53.8585106382979
"144",2022-02-21,53.6614583333333,53.55
"145",2022-02-22,52.9673684210526,53.1263157894737
"146",2022-02-23,51.6854166666667,52.6083333333333
"147",2022-02-24,51.1850574712644,52.351724137931
"148",2022-02-25,51.784375,52.4125
"149",2022-02-26,51.9333333333333,52.5020833333333
"150",2022-02-27,53.1104166666667,52.7552083333333
"151",2022-02-28,54.8863157894737,53.2947368421053
"152",2022-03-01,56.540625,53.775
"153",2022-03-02,57.5958333333333,54.2791666666667
"154",2022-03-03,58.028125,54.665625
"155",2022-03-04,58.0810526315789,55.0021052631579
"156",2022-03-05,55.86,54.5894736842105
"157",2022-03-06,55.2427083333333,54.7197916666667
"158",2022-03-07,55.4258064516129,54.5935483870968
"159",2022-03-08,55.7666666666667,54.8447916666667
"160",2022-03-09,56.9614583333333,55.2989583333333
"161",2022-03-10,56.78125,55.2260416666667
"162",2022-03-11,56.5364583333333,55.309375
"163",2022-03-12,57.9927083333333,55.715625
"164",2022-03-13,59.0386363636364,56.2272727272727
"165",2022-03-14,59.9916666666667,56.5875
"166",2022-03-15,61.6273684210526,57.2884210526316
"167",2022-03-16,61.9666666666667,57.7354166666667
"168",2022-03-17,62.290625,58.1322916666667
"169",2022-03-18,62.4625,58.634375
"170",2022-03-19,62.171875,58.5833333333333
"171",2022-03-20,60.15,58.190625
"172",2022-03-21,60.0729166666667,58.259375
"173",2022-03-22,62.4479166666667,59.103125
"174",2022-03-23,65.1447916666667,59.9875
"175",2022-03-24,66.8854166666667,60.8020833333333
"176",2022-03-25,67.4368421052632,61.2452631578947
"177",2022-03-26,67.4375,61.7541666666667
"178",2022-03-27,67.171875,62.0802083333333
"179",2022-03-28,66.6489583333333,62.08125
"180",2022-03-29,64.7479166666667,62.178125
"181",2022-03-30,65.1031578947368,62.3894736842105
"182",2022-03-31,64.336170212766,62.5670212765957
"183",2022-04-01,65.2510416666667,62.8708333333333
"184",2022-04-02,66.128125,63.2739583333333
"185",2022-04-03,66.5270833333333,63.31875
"186",2022-04-04,65.6635416666667,62.965625
"187",2022-04-05,65.659375,62.7333333333333
"188",2022-04-06,65.4875,62.990625
"189",2022-04-07,67.1520833333333,63.7623655913979
"190",2022-04-08,69.4625,64.665625
"191",2022-04-09,69.0177083333333,64.6541666666667
"192",2022-04-10,65.5105263157895,63.2052631578947
"193",2022-04-11,62.178125,62.2072916666667
"194",2022-04-12,60.5479166666667,61.2927083333333
"195",2022-04-13,60.4802083333333,60.74375
"196",2022-04-14,61.6572916666667,60.5541666666667
"197",2022-04-15,63.9723404255319,60.8808510638298
"198",2022-04-16,65.4260416666667,61.31875
"199",2022-04-17,66.1458333333333,61.5614583333333
"200",2022-04-18,65.7260416666667,61.6354166666667
"201",2022-04-19,65.3294736842105,61.9568421052632
"202",2022-04-20,62.9260416666667,62.1947916666667
"203",2022-04-21,63.9270833333333,62.4302083333333
"204",2022-04-22,62.471875,62.6416666666667
"205",2022-04-23,62.9364583333333,62.95
"206",2022-04-24,63.73125,63.3625
"207",2022-04-25,64.9145833333333,64.2416666666667
"208",2022-04-26,65.3177083333333,64.565625
"209",2022-04-27,65.3421052631579,64.7305263157895
"210",2022-04-28,64.7739583333333,64.309375
"211",2022-04-29,64.846875,64.0708333333333
"212",2022-04-30,66.3072916666667,64.1541666666667
"213",2022-05-01,65.7958333333333,64.3416666666667
"214",2022-05-02,65.1263157894737,64.2421052631579
"215",2022-05-03,64.6447916666667,64.2020833333333
"216",2022-05-04,66.275,64.7427083333333
"217",2022-05-05,68.6315789473684,65.0894736842105
"218",2022-05-06,69.0840425531915,65.2936170212766
"219",2022-05-07,67.96875,65.3104166666667
"220",2022-05-08,64.7885416666667,64.465625
"221",2022-05-09,62.090625,63.6864583333333
"222",2022-05-10,61.8770833333333,63.38125
"223",2022-05-11,61.871875,63.3458333333333
"224",2022-05-12,63.2020833333333,63.484375
"225",2022-05-13,65.1291666666667,63.834375
"226",2022-05-14,68.5063157894737,64.8884210526316
"227",2022-05-15,70.7666666666667,65.8135416666667
"228",2022-05-16,69.7270833333333,66.0833333333333
"229",2022-05-17,69.6260416666667,66.475
"230",2022-05-18,71.2104166666667,66.8541666666667
"231",2022-05-19,72.9208333333333,67.6104166666667
"232",2022-05-20,71.4958333333333,67.2229166666667
"233",2022-05-21,70.4239583333333,67.25
"234",2022-05-22,70.431914893617,67.9063829787234
"235",2022-05-23,71.8229166666667,68.4104166666667
"236",2022-05-24,73.0947916666667,69.3947916666667
"237",2022-05-25,75.3510416666667,70.2958333333333
"238",2022-05-26,76.2041666666667,70.2895833333333
"239",2022-05-27,75.2389473684211,69.3715789473684
"240",2022-05-28,72.81875,68.853125
"241",2022-05-29,70.5547368421053,68.6242105263158
"242",2022-05-30,69.371875,68.4270833333333
"243",2022-05-31,69.632,68.7306666666667
"244",2022-06-01,70.7385416666667,68.9625
"245",2022-06-02,71.9010416666667,69.540625
"246",2022-06-03,71.5552083333333,69.590625
"247",2022-06-04,69.7552083333333,69.3958333333333
"248",2022-06-05,69.7270833333333,69.6822916666667
"249",2022-06-06,71.6489583333333,70.1833333333333
"250",2022-06-07,72.2114583333333,70.8666666666667
"251",2022-06-08,72.4260416666667,71.046875
"252",2022-06-09,73.4416666666667,71.5020833333333
"253",2022-06-10,75.415625,72.2895833333333
"254",2022-06-11,77.1916666666667,72.878125
"255",2022-06-12,76.653125,73.2541666666667
"256",2022-06-13,74.2760416666667,72.9927083333333
"257",2022-06-14,72.2833333333333,72.9010416666667
"258",2022-06-15,72.4489583333333,72.9770833333333
"259",2022-06-16,72.0864583333333,72.6302083333333
"260",2022-06-17,69.9625,71.790625
"261",2022-06-18,68.5604166666667,71.2625
"262",2022-06-19,69.2447916666667,71.3385416666667
"263",2022-06-20,70.9927083333333,72.0276595744681
"264",2022-06-21,73.0947916666667,72.7677083333333
"265",2022-06-22,74.338947368421,73.3873684210526
"266",2022-06-23,75.2431578947368,74.1378947368421
"267",2022-06-24,75.9822916666667,74.7489583333333
"268",2022-06-25,76.7083333333333,75.1427083333333
"269",2022-06-26,76.3375,75.33125
"270",2022-06-27,76.1645833333333,75.3583333333333
"271",2022-06-28,76.1,74.8
