event,start,end,group,notes,category,color
,12/7/2021,12/14/2021,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,12/7/2021,12/14/2021,Sacramento Carcass and Redd Surveys  ,Active (No disruptions),1,#55C667FF
,12/7/2021,12/14/2021,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
,12/7/2021,12/14/2021,SJRRP CDFW Field Monitoring   ,Active (No disruptions) ,1,#55C667FF
,12/7/2021,12/14/2021,SJRRP USFWS and USBR Field Monitoring,Active (No disruptions) ,1,#55C667FF
,12/7/2021,12/14/2021,Stanislaus Fish Weir ,Active (No disruptions) ,1,#55C667FF
,12/14/2021,12/21/2021,"SWP regular counts, CWT reading, and larval sampling  ",Active (No disruptions),1,#55C667FF
,12/14/2021,12/21/2021,"CVP regular counts, CWT reading, and larval sampling  ",Active (No disruptions),1,#55C667FF
,12/14/2021,12/21/2021,Smelt Larval Survey  ,Active (partial disruption),2,#FDE725FF
,12/14/2021,12/21/2021,20mm Survey  ,Not Active ,4,#ffffff
,12/14/2021,12/21/2021,Spring Kodiak Trawl  ,Not Active ,4,#ffffff
,12/14/2021,12/21/2021,Fall Mid-water Trawl , Active (No disruptions) ,1,#55C667FF
,12/14/2021,12/21/2021,Summer Townet Survey ,Not Active ,4,#ffffff
,12/14/2021,12/21/2021,Bay Study  ,Active (No disruptions),1,#55C667FF
,12/14/2021,12/21/2021, DJFMP- Chipps and Sacramento Trawls ,Active (5x a week) ,1,#55C667FF
,12/14/2021,12/21/2021,DJFMP- Seines  ,Active with one disruption: not sampling San Joaquin Seines (due to low water) ,2,#FDE725FF
,12/14/2021,12/21/2021, EDSM  ,Active (some disruptions due to fog and wind),2,#FDE725FF
,12/14/2021,12/21/2021,EMP   , Active (No disruptions),1,#55C667FF
,12/14/2021,12/21/2021,Mossdale   ,Not active (due to low water and vessel availability),4,#ffffff
,12/14/2021,12/21/2021,USGS Flow monitoring  ,Active (No disruptions) ,1,#55C667FF
,12/14/2021,12/21/2021,Red Bluff Diversion Dam screw trap  ,Active (No disruptions) ,1,#55C667FF
,12/14/2021,12/21/2021,Knights Landing screw trap  ,Active (No disruptions),1,#55C667FF
,12/14/2021,12/21/2021,Tisdale screw trap  ,Active (No disruptions),1,#55C667FF
,12/14/2021,12/21/2021,GCID screw trap ,Active (partial disruptions – cone was removed 12/10 due to high water flows),2,#FDE725FF
,12/14/2021,12/21/2021,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,12/14/2021,12/21/2021,Sacramento Carcass and Redd Surveys  ,Active (No disruptions),1,#55C667FF
,12/14/2021,12/21/2021,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
,12/14/2021,12/21/2021,SJRRP CDFW Field Monitoring   ,Active (No disruptions) ,1,#55C667FF
,12/14/2021,12/21/2021,SJRRP USFWS and USBR Field Monitoring,Active (No disruptions) ,1,#55C667FF
,12/14/2021,12/21/2021,Stanislaus Fish Weir ,Active (No disruptions) ,1,#55C667FF
,12/21/2021,12/28/2021,"SWP regular counts, CWT reading, and larval sampling  ",Active (No disruptions),1,#55C667FF
,12/21/2021,12/28/2021,"CVP regular counts, CWT reading, and larval sampling  ",Active (No disruptions),1,#55C667FF
,12/21/2021,12/28/2021,Smelt Larval Survey  ,Active ,1,#55C667FF
,12/21/2021,12/28/2021,20mm Survey  ,Not Active ,4,#ffffff
,12/21/2021,12/28/2021,Spring Kodiak Trawl  ,Not Active ,4,#ffffff
,12/21/2021,12/28/2021,Fall Mid-water Trawl , Active (No disruptions) ,1,#55C667FF
,12/21/2021,12/28/2021,Summer Townet Survey ,Not Active ,4,#ffffff
,12/21/2021,12/28/2021,Bay Study  ,Active (No disruptions),1,#55C667FF
,12/21/2021,12/28/2021, DJFMP- Chipps and Sacramento Trawls ,Active (5x a week) ,1,#55C667FF
,12/21/2021,12/28/2021,DJFMP- Seines  ,Active with one disruption: not sampling San Joaquin Seines (due to low water) ,2,#FDE725FF
,12/21/2021,12/28/2021, EDSM  ,Active ,1,#55C667FF
,12/21/2021,12/28/2021,EMP   , Active (No disruptions),1,#55C667FF
,12/21/2021,12/28/2021,Mossdale   ,Not active (due to low water and vessel availability),4,#ffffff
,12/21/2021,12/28/2021,USGS Flow monitoring  ,Active (No disruptions) ,1,#55C667FF
,12/21/2021,12/28/2021,Red Bluff Diversion Dam screw trap  ,Active (No disruptions) ,1,#55C667FF
,12/21/2021,12/28/2021,Knights Landing screw trap  ,Active (No disruptions),1,#55C667FF
,12/21/2021,12/28/2021,Tisdale screw trap  ,Active (No disruptions),1,#55C667FF
,12/21/2021,12/28/2021,GCID screw trap ,Active (partial disruptions – cone was removed 12/10 due to high water flows),2,#FDE725FF
,12/21/2021,12/28/2021,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,12/21/2021,12/28/2021,Sacramento Carcass and Redd Surveys  ,Active (No disruptions),1,#55C667FF
,12/21/2021,12/28/2021,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
,12/21/2021,12/28/2021,SJRRP CDFW Field Monitoring   ,Active (No disruptions) ,1,#55C667FF
,12/21/2021,12/28/2021,SJRRP USFWS and USBR Field Monitoring,Active (No disruptions) ,1,#55C667FF
,12/21/2021,12/28/2021,Stanislaus Fish Weir ,Active (No disruptions) ,1,#55C667FF
,12/28/2021,1/4/2022,"SWP regular counts, CWT reading, and larval sampling  ",Active (No disruptions),1,#55C667FF
,12/28/2021,1/4/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active (No disruptions),1,#55C667FF
,12/28/2021,1/4/2022,Smelt Larval Survey  ,Active ,1,#55C667FF
,12/28/2021,1/4/2022,20mm Survey  ,Not Active ,4,#ffffff
,12/28/2021,1/4/2022,Spring Kodiak Trawl  ,Not Active ,4,#ffffff
,12/28/2021,1/4/2022,Fall Mid-water Trawl , Active (No disruptions) ,1,#55C667FF
,12/28/2021,1/4/2022,Summer Townet Survey ,Not Active ,4,#ffffff
,12/28/2021,1/4/2022,Bay Study  ,Active (No disruptions),1,#55C667FF
,12/28/2021,1/4/2022, DJFMP- Chipps and Sacramento Trawls ,Active (5x a week) ,1,#55C667FF
,12/28/2021,1/4/2022,DJFMP- Seines  ,Active with one disruption: not sampling San Joaquin Seines (due to low water) ,2,#FDE725FF
,12/28/2021,1/4/2022, EDSM  ,Active ,1,#55C667FF
,12/28/2021,1/4/2022,EMP   , Active (No disruptions),1,#55C667FF
,12/28/2021,1/4/2022,Mossdale   ,Not active (due to low water and vessel availability),4,#ffffff
,12/28/2021,1/4/2022,USGS Flow monitoring  ,Active (No disruptions) ,1,#55C667FF
,12/28/2021,1/4/2022,Red Bluff Diversion Dam screw trap  ,Active (No disruptions) ,1,#55C667FF
,12/28/2021,1/4/2022,Knights Landing screw trap  ,"Active (Pulled cones on 12/24, didn’t sample on 12/25 or 12/26)",1,#55C667FF
,12/28/2021,1/4/2022,Tisdale screw trap  ,"Active (Pulled cones on 12/24, didn’t sample on 12/25 or 12/26)",1,#55C667FF
,12/28/2021,1/4/2022,GCID screw trap ,Active (partial disruptions – cone was removed 12/23 due to high water flows),2,#FDE725FF
,12/28/2021,1/4/2022,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,12/28/2021,1/4/2022,Sacramento Carcass and Redd Surveys  ,Active (No disruptions),1,#55C667FF
,12/28/2021,1/4/2022,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
,12/28/2021,1/4/2022,SJRRP CDFW Field Monitoring   ,Active (No disruptions) ,1,#55C667FF
,12/28/2021,1/4/2022,SJRRP USFWS and USBR Field Monitoring,Active (No disruptions) ,1,#55C667FF
,12/28/2021,1/4/2022,Stanislaus Fish Weir ,Active (No disruptions) ,1,#55C667FF
,1/4/2022,1/11/2022,"SWP regular counts, CWT reading, and larval sampling  ",Active (No disruptions),1,#55C667FF
,1/4/2022,1/11/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active (No disruptions),1,#55C667FF
,1/4/2022,1/11/2022,Smelt Larval Survey  ,Active ,1,#55C667FF
,1/4/2022,1/11/2022,20mm Survey  ,Not Active ,4,#ffffff
,1/4/2022,1/11/2022,Spring Kodiak Trawl  ,Not Active ,4,#ffffff
,1/4/2022,1/11/2022,Fall Mid-water Trawl , Not Active ,4,#ffffff
,1/4/2022,1/11/2022,Summer Townet Survey ,Not Active ,4,#ffffff
,1/4/2022,1/11/2022,Bay Study  ,Active (No disruptions),1,#55C667FF
,1/4/2022,1/11/2022, DJFMP- Chipps and Sacramento Trawls ,Active (No trawls on 12/30 due to Covid),2,#FDE725FF
,1/4/2022,1/11/2022,DJFMP- Seines  ,Active: sampling San Joaquin Seines (Only two sites) ,2,#FDE725FF
,1/4/2022,1/11/2022, EDSM  ,"Active (No sampling on 12/29 due to high winds, 12/30 due to Covid)",2,#FDE725FF
,1/4/2022,1/11/2022,EMP   , Active (No disruptions),1,#55C667FF
,1/4/2022,1/11/2022,Mossdale   ,Active ,1,#55C667FF
,1/4/2022,1/11/2022,USGS Flow monitoring  ,Active (No disruptions) ,1,#55C667FF
,1/4/2022,1/11/2022,Red Bluff Diversion Dam screw trap  ,Active (No disruptions) ,1,#55C667FF
,1/4/2022,1/11/2022,Knights Landing screw trap  ,"Active (Pulled cones on 12/24, didn’t sample on 12/25 or 12/26)",1,#55C667FF
,1/4/2022,1/11/2022,Tisdale screw trap  ,"Active (Pulled cones on 12/24, didn’t sample on 12/25 or 12/26)",1,#55C667FF
,1/4/2022,1/11/2022,GCID screw trap ,Active (partial disruptions – cone was removed 12/23 due to high water flows),2,#FDE725FF
,1/4/2022,1/11/2022,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,1/4/2022,1/11/2022,Sacramento Carcass and Redd Surveys  ,Active (No disruptions),1,#55C667FF
,1/4/2022,1/11/2022,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
,1/4/2022,1/11/2022,SJRRP CDFW Field Monitoring   ,Active (No disruptions) ,1,#55C667FF
,1/4/2022,1/11/2022,SJRRP USFWS and USBR Field Monitoring,Active (No disruptions) ,1,#55C667FF
,1/4/2022,1/11/2022,Stanislaus Fish Weir ,Active (No disruptions) ,1,#55C667FF
,1/11/2022,1/18/2022,"SWP regular counts, CWT reading, and larval sampling  ",Active (No disruptions),1,#55C667FF
,1/11/2022,1/18/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active (No disruptions),1,#55C667FF
,1/11/2022,1/18/2022,Smelt Larval Survey  ,Interrupted ,3,#453781FF
,1/11/2022,1/18/2022,LEPS,Interrupted ,3,#453781FF
,1/11/2022,1/18/2022,20mm Survey  ,Not Active ,4,#ffffff
,1/11/2022,1/18/2022,Spring Kodiak Trawl  ,Not Active ,4,#ffffff
,1/11/2022,1/18/2022,Fall Mid-water Trawl , Not Active ,4,#ffffff
,1/11/2022,1/18/2022,Summer Townet Survey ,Not Active ,4,#ffffff
,1/11/2022,1/18/2022,Bay Study  ,Active (No disruptions),1,#55C667FF
,1/11/2022,1/18/2022, DJFMP- Chipps and Sacramento Trawls ,"Active (Sampling on 1/6 was cut short. No Sac trawl on 1/9, will be made up on 1/12)",2,#FDE725FF
,1/11/2022,1/18/2022,DJFMP- Seines  ,Active: sampling San Joaquin Seines (Only two sites.  South Delta sampling canceled 1/5) ,2,#FDE725FF
,1/11/2022,1/18/2022, EDSM  ,Active (No sampling at Rio Vista on 1/6.  Sampling at Pittsburgh and Rio Vista canceled on 1/7),2,#FDE725FF
,1/11/2022,1/18/2022,EMP   , Active (No disruptions),1,#55C667FF
,1/11/2022,1/18/2022,Mossdale   ,Active (started Jan 1 w/ mixed CDFW/USFWS crews),1,#55C667FF
,1/11/2022,1/18/2022,USGS Flow monitoring  ,Active (No disruptions) ,1,#55C667FF
,1/11/2022,1/18/2022,Red Bluff Diversion Dam screw trap  ,Active (No disruptions) ,1,#55C667FF
,1/11/2022,1/18/2022,Knights Landing screw trap  ,Active ,1,#55C667FF
,1/11/2022,1/18/2022,Tisdale screw trap  ,Active ,1,#55C667FF
,1/11/2022,1/18/2022,GCID screw trap ,Active (partial disruptions1/9),2,#FDE725FF
,1/11/2022,1/18/2022,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,1/11/2022,1/18/2022,Sacramento Carcass and Redd Surveys  ,Active (No disruptions),1,#55C667FF
,1/11/2022,1/18/2022,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
,1/11/2022,1/18/2022,SJRRP CDFW Field Monitoring   ,Active (No disruptions) ,1,#55C667FF
,1/11/2022,1/18/2022,SJRRP USFWS and USBR Field Monitoring,Active (No disruptions) ,1,#55C667FF
,1/11/2022,1/18/2022,Stanislaus Fish Weir ,Active (No disruptions) ,1,#55C667FF
,1/18/2022,1/25/2022,"SWP regular counts, CWT reading, and larval sampling  ",Active (No disruptions),1,#55C667FF
,1/18/2022,1/25/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active (No disruptions),1,#55C667FF
,1/18/2022,1/25/2022,Smelt Larval Survey  ,Active ,1,#55C667FF
,1/18/2022,1/25/2022,LEPS,Active,1,#55C667FF
,1/18/2022,1/25/2022,20mm Survey  ,Not Active ,4,#ffffff
,1/18/2022,1/25/2022,Spring Kodiak Trawl  ,Active ,1,#55C667FF
,1/18/2022,1/25/2022,Fall Mid-water Trawl , Not Active ,4,#ffffff
,1/18/2022,1/25/2022,Summer Townet Survey ,Not Active ,4,#ffffff
,1/18/2022,1/25/2022,Bay Study  ,Active ,1,#55C667FF
,1/18/2022,1/25/2022, DJFMP- Chipps and Sacramento Trawls ,Active ,1,#55C667FF
,1/18/2022,1/25/2022,DJFMP- Seines  ,Active: sampling San Joaquin Seines (only two sites)  ,2,#FDE725FF
,1/18/2022,1/25/2022, EDSM  ,Active ,1,#55C667FF
,1/18/2022,1/25/2022,EMP   , Active (No disruptions),1,#55C667FF
,1/18/2022,1/25/2022,Mossdale   ,Active (Disrupted 1/12),2,#FDE725FF
,1/18/2022,1/25/2022,USGS Flow monitoring  ,Active (No disruptions) ,1,#55C667FF
,1/18/2022,1/25/2022,Red Bluff Diversion Dam screw trap  ,Active (No disruptions) ,1,#55C667FF
,1/18/2022,1/25/2022,Knights Landing screw trap  ,Active ,1,#55C667FF
,1/18/2022,1/25/2022,Tisdale screw trap  ,Active ,1,#55C667FF
,1/18/2022,1/25/2022,GCID screw trap ,Active ,1,#55C667FF
,1/18/2022,1/25/2022,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,1/18/2022,1/25/2022,Sacramento Carcass and Redd Surveys  ,Active (No disruptions),1,#55C667FF
,1/18/2022,1/25/2022,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
,1/18/2022,1/25/2022,SJRRP CDFW Field Monitoring   ,Active (No disruptions) ,1,#55C667FF
,1/18/2022,1/25/2022,SJRRP USFWS and USBR Field Monitoring,Active (No disruptions) ,1,#55C667FF
,1/18/2022,1/25/2022,Stanislaus Fish Weir ,Active (No disruptions) ,1,#55C667FF
,1/25/2022,2/1/2022,"SWP regular counts, CWT reading, and larval sampling  ",Active ,1,#55C667FF
,1/25/2022,2/1/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active ,1,#55C667FF
,1/25/2022,2/1/2022,Smelt Larval Survey  ,Active ,1,#55C667FF
,1/25/2022,2/1/2022,LEPS,Active,1,#55C667FF
,1/25/2022,2/1/2022,20mm Survey  ,Not Active ,4,#ffffff
,1/25/2022,2/1/2022,Spring Kodiak Trawl  ,Active ,1,#55C667FF
,1/25/2022,2/1/2022,Fall Mid-water Trawl , Not Active ,4,#ffffff
,1/25/2022,2/1/2022,Summer Townet Survey ,Not Active ,4,#ffffff
,1/25/2022,2/1/2022,Bay Study  ,Active ,1,#55C667FF
,1/25/2022,2/1/2022, DJFMP- Chipps and Sacramento Trawls ,Active ,1,#55C667FF
,1/25/2022,2/1/2022,DJFMP- Seines  ,Active: sampling San Joaquin Seines (only two sites)  ,2,#FDE725FF
,1/25/2022,2/1/2022, EDSM  ,Active ,1,#55C667FF
,1/25/2022,2/1/2022,EMP   , Active ,1,#55C667FF
,1/25/2022,2/1/2022,Mossdale   ,Active ,1,#55C667FF
,1/25/2022,2/1/2022,USGS Flow monitoring  ,Active  ,1,#55C667FF
,1/25/2022,2/1/2022,Red Bluff Diversion Dam screw trap  ,Active ,1,#55C667FF
,1/25/2022,2/1/2022,Knights Landing screw trap  ,Active ,1,#55C667FF
,1/25/2022,2/1/2022,Tisdale screw trap  ,Active ,1,#55C667FF
,1/25/2022,2/1/2022,GCID screw trap ,Active ,1,#55C667FF
,1/25/2022,2/1/2022,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,1/25/2022,2/1/2022,Sacramento Carcass and Redd Surveys  ,Active,1,#55C667FF
,1/25/2022,2/1/2022,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
,1/25/2022,2/1/2022,SJRRP CDFW Field Monitoring   ,Active ,1,#55C667FF
,1/25/2022,2/1/2022,SJRRP USFWS and USBR Field Monitoring,Active ,1,#55C667FF
,1/25/2022,2/1/2022,Stanislaus Fish Weir ,Active ,1,#55C667FF
,2/1/2022,2/8/2022,"SWP regular counts, CWT reading, and larval sampling  ",Active ,1,#55C667FF
,2/1/2022,2/8/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active ,1,#55C667FF
,2/1/2022,2/8/2022,Smelt Larval Survey  ,Active ,1,#55C667FF
,2/1/2022,2/8/2022,LEPS,Active,1,#55C667FF
,2/1/2022,2/8/2022,20mm Survey  ,Not Active ,4,#ffffff
,2/1/2022,2/8/2022,Spring Kodiak Trawl  ,Active ,1,#55C667FF
,2/1/2022,2/8/2022,Fall Mid-water Trawl , Not Active ,4,#ffffff
,2/1/2022,2/8/2022,Summer Townet Survey ,Not Active ,4,#ffffff
,2/1/2022,2/8/2022,Bay Study  ,Active ,1,#55C667FF
,2/1/2022,2/8/2022, DJFMP- Chipps and Sacramento Trawls ,Active ,1,#55C667FF
,2/1/2022,2/8/2022,DJFMP- Seines  ,Active: sampling San Joaquin Seines (only two sites)  ,2,#FDE725FF
,2/1/2022,2/8/2022, EDSM  ,Active ,1,#55C667FF
,2/1/2022,2/8/2022,EMP   , Active ,1,#55C667FF
,2/1/2022,2/8/2022,Mossdale   ,Active ,1,#55C667FF
,2/1/2022,2/8/2022,USGS Flow monitoring  ,Active  ,1,#55C667FF
,2/1/2022,2/8/2022,Red Bluff Diversion Dam screw trap  ,Active ,1,#55C667FF
,2/1/2022,2/8/2022,Knights Landing screw trap  ,Active ,1,#55C667FF
,2/1/2022,2/8/2022,Tisdale screw trap  ,Active ,1,#55C667FF
,2/1/2022,2/8/2022,GCID screw trap ,Active ,1,#55C667FF
,2/1/2022,2/8/2022,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,2/1/2022,2/8/2022,Sacramento Carcass and Redd Surveys  ,Active,1,#55C667FF
,2/1/2022,2/8/2022,Lower Sacramento Rotary Screw Trap,Active,1,#55C667FF
,2/1/2022,2/8/2022,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
,2/1/2022,2/8/2022,SJRRP CDFW Field Monitoring   ,Active ,1,#55C667FF
,2/1/2022,2/8/2022,SJRRP USFWS and USBR Field Monitoring,Active ,1,#55C667FF
,2/1/2022,2/8/2022,Stanislaus Fish Weir ,Active ,1,#55C667FF
,2/8/2022,2/15/2022,"SWP regular counts, CWT reading, and larval sampling  ",Active ,1,#55C667FF
,2/8/2022,2/15/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active ,1,#55C667FF
,2/8/2022,2/15/2022,Smelt Larval Survey  ,Active ,1,#55C667FF
,2/8/2022,2/15/2022,LEPS,Active,1,#55C667FF
,2/8/2022,2/15/2022,20mm Survey  ,Not Active ,4,#ffffff
,2/8/2022,2/15/2022,Spring Kodiak Trawl  ,Active ,1,#55C667FF
,2/8/2022,2/15/2022,Fall Mid-water Trawl , Not Active ,4,#ffffff
,2/8/2022,2/15/2022,Summer Townet Survey ,Not Active ,4,#ffffff
,2/8/2022,2/15/2022,Bay Study  ,Active ,1,#55C667FF
,2/8/2022,2/15/2022, DJFMP- Chipps and Sacramento Trawls ,Active ,1,#55C667FF
,2/8/2022,2/15/2022,DJFMP- Seines  ,Active,1,#55C667FF
,2/8/2022,2/15/2022, EDSM  ,"Active (no sampling in South Delta, Cache Slough/Liberty Island and Western Delta)",2,#FDE725FF
,2/8/2022,2/15/2022,EMP   , Active ,1,#55C667FF
,2/8/2022,2/15/2022,Mossdale   ,Active ,1,#55C667FF
,2/8/2022,2/15/2022,USGS Flow monitoring  ,Active  ,1,#55C667FF
,2/8/2022,2/15/2022,Red Bluff Diversion Dam screw trap  ,Active ,1,#55C667FF
,2/8/2022,2/15/2022,Knights Landing screw trap  ,Active ,1,#55C667FF
,2/8/2022,2/15/2022,Tisdale screw trap  ,Active ,1,#55C667FF
,2/8/2022,2/15/2022,GCID screw trap ,Active ,1,#55C667FF
,2/8/2022,2/15/2022,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,2/8/2022,2/15/2022,Sacramento Carcass and Redd Surveys  ,Active,1,#55C667FF
,2/8/2022,2/15/2022,Lower Sacramento Rotary Screw Trap,"Active (cones raised on 2/6, trapping resumed 2/7)",2,#FDE725FF
,2/8/2022,2/15/2022,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
